country,iso_alpha3,whostandard,natstandard,population,pm_1998,pm_1999,pm_2000,pm_2001,pm_2002,pm_2003,pm_2004,pm_2005,pm_2006,pm_2007,pm_2008,pm_2009,pm_2010,pm_2011,pm_2012,pm_2013,pm_2014,pm_2015,pm_2016,pm_2017,pm_2018,llpp_who_1998,llpp_who_1999,llpp_who_2000,llpp_who_2001,llpp_who_2002,llpp_who_2003,llpp_who_2004,llpp_who_2005,llpp_who_2006,llpp_who_2007,llpp_who_2008,llpp_who_2009,llpp_who_2010,llpp_who_2011,llpp_who_2012,llpp_who_2013,llpp_who_2014,llpp_who_2015,llpp_who_2016,llpp_who_2017,llpp_who_2018,llpp_nat_1998,llpp_nat_1999,llpp_nat_2000,llpp_nat_2001,llpp_nat_2002,llpp_nat_2003,llpp_nat_2004,llpp_nat_2005,llpp_nat_2006,llpp_nat_2007,llpp_nat_2008,llpp_nat_2009,llpp_nat_2010,llpp_nat_2011,llpp_nat_2012,llpp_nat_2013,llpp_nat_2014,llpp_nat_2015,llpp_nat_2016,llpp_nat_2017,llpp_nat_2018
French Southern Territories,ATF,10,0,111194,4.4699998,3.4100001,4.1100001,5.3000002,4.48,4.3099999,3.6700001,3.74,3.75,4.21,3.8399999,4.6999998,4.4200001,5.0700002,4.4000001,5.1999998,4.5799999,5.1999998,4.7800002,3.6600001,3.9300001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,10,0,95882,2.9000001,1.63,4.4099998,5.1399999,2.79,1.84,2.73,3.04,2.5899999,3.97,3.3800001,2.29,4.5500002,2.98,3.9300001,2.72,1.0599999,2.9000001,1.5,3.1300001,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,10,8,23462247,5.1300001,5.9400001,5.48,5.5900002,6.3800001,6.9099998,4.7800002,4.8800001,6.21,5.1700001,4.4099998,5.6700001,4.5900002,5.0100002,4.9299998,5.1100001,5.02,5.6199999,4.98,5.2600002,4.8600001,0,0,0,0,0,.029999999,0,0,.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,.0099999998,.02,.0099999998,.0099999998,.039999999,.079999998,0,0,.039999999,0,0,0,0,0,0,.0099999998,0,.0099999998,0,0,0
Austria,AUT,10,25,8791509,23.870001,19.870001,20.92,18.48,20.440001,18.639999,15.99,18.26,19.209999,13.51,12.67,18.93,17.030001,17.74,15.01,16.66,14.99,15.8,15.63,12.84,12.73,1.36,.97000003,1.0700001,.82999998,1.02,.85000002,.58999997,.81,.89999998,.34999999,.25999999,.88,.69,.75999999,.49000001,.64999998,.49000001,.56999999,.55000001,.30000001,.27000001,.12,0,.0099999998,0,.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,AZE,10,0,10004789,12.34,14.19,10.17,8.4300003,12.57,6.21,7.02,8.9200001,12.29,7.9000001,11.89,8.29,7.4099998,11.27,13.26,11.35,10.82,7.04,13.07,10.48,8.04,.25,.41,.059999999,.02,.25999999,0,.0099999998,.039999999,.25,.02,.23,.0099999998,.0099999998,.16,.33000001,.17,.13,.0099999998,.30000001,.11,.02,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI,10,0,11846545,29.030001,20.139999,24.9,24.870001,20.66,20.01,20.93,21.200001,16.290001,21.35,21.52,20.559999,20.27,24.49,24.58,23.43,22.530001,23.379999,22.459999,19.370001,16.51,1.86,.99000001,1.46,1.46,1.04,.98000002,1.0700001,1.1,.62,1.11,1.13,1.03,1.01,1.42,1.4299999,1.3200001,1.23,1.3099999,1.22,.92000002,.63999999,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,10,25,11573968,27.48,20.76,21.02,18.84,17.790001,21.629999,18.799999,15.95,19.82,15.89,16.07,18.83,19.59,17.309999,17.870001,16.559999,14.09,13.76,15.15,14.51,13.36,1.71,1.05,1.08,.87,.75999999,1.14,.86000001,.57999998,.95999998,.57999998,.60000002,.87,.94,.72000003,.76999998,.63999999,.40000001,.37,.5,.44,.33000001,.25999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,BEN,10,0,11366677,43.720001,23.110001,23.57,35.23,25.940001,24.26,41.049999,42.41,28.549999,41.709999,30.83,29.59,31.639999,33.040001,32.810001,31.49,33.330002,38.950001,26.629999,27.889999,28.34,3.3,1.29,1.34,2.47,1.5700001,1.4,3.04,3.1800001,1.8200001,3.1099999,2.04,1.92,2.1199999,2.26,2.23,2.1099999,2.29,2.8399999,1.63,1.75,1.8,,,,,,,,,,,,,,,,,,,,,
"Bonaire, Sint Eustatius and Saba",BES,10,0,19109,3.9000001,1.86,2.8900001,5.3200002,2.75,2.1700001,3.4400001,3.76,3.6300001,6.02,3.5599999,3.6700001,3.52,3.3399999,3.4300001,3.8900001,4.3400002,2.71,5.1500001,4.9899998,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,10,0,19769083,13.27,7.9200001,7.46,11.3,6.9899998,8.1599998,12.56,13.61,7.0999999,14.36,11.37,10.57,11.04,12.69,15.23,9.9700003,8.0299997,15.43,9.3500004,10.82,9.1300001,.36000001,.029999999,.0099999998,.19,0,.0099999998,.28,.36000001,.0099999998,.43000001,.15000001,.11,.15000001,.28,.50999999,.079999998,.0099999998,.54000002,.039999999,.1,.050000001,,,,,,,,,,,,,,,,,,,,,
